no_of_pcs,room_size,total_price
1,54,33543.75
1,54,35818.75
1,54,33313.75
1,54,34743.75
1,54,37018.75
1,54,34513.75
1,54,34540.75
1,54,36815.75
1,54,34310.75
1,54,35740.75
1,54,38015.75
1,54,35510.75
2,54,67283.67
2,54,71833.67
2,54,66823.67
2,54,69683.67
2,54,74233.67
2,54,69223.67
2,54,69277.67
2,54,73827.67
2,54,68817.67
2,54,71677.67
2,54,76227.67
2,54,71217.67
3,54,100302.42
3,54,107127.42
3,54,99612.42
3,54,103902.42
3,54,110727.42
3,54,103212.42
3,54,103293.42
3,54,110118.42
3,54,102603.42
3,54,106893.42
3,54,113718.42
3,54,106203.42
4,54,133321.17
4,54,142421.17
4,54,132401.17
4,54,138121.17
4,54,147221.17
4,54,137201.17
4,54,137309.17
4,54,146409.17
4,54,136389.17
4,54,142109.17
4,54,151209.17
4,54,141189.17
5,54,165618.75
5,54,176993.75
5,54,164468.75
5,54,171618.75
5,54,182993.75
5,54,170468.75
5,54,170603.75
5,54,181978.75
5,54,169453.75
5,54,176603.75
5,54,187978.75
5,54,175453.75
6,54,199358.67
6,54,213008.67
6,54,197978.67
6,54,206558.67
6,54,220208.67
6,54,205178.67
6,54,205340.67
6,54,218990.67
6,54,203960.67
6,54,212540.67
6,54,226190.67
6,54,211160.67
7,54,232377.42
7,54,248302.42
7,54,230767.42
7,54,240777.42
7,54,256702.42
7,54,239167.42
7,54,239356.42
7,54,255281.42
7,54,237746.42
7,54,247756.42
7,54,263681.42
7,54,246146.42
8,54,265396.17
8,54,283596.17
8,54,263556.17
8,54,274996.17
8,54,293196.17
8,54,273156.17
8,54,273372.17
8,54,291572.17
8,54,271532.17
8,54,282972.17
8,54,301172.17
8,54,281132.17
9,54,301158.75
9,54,321633.75
9,54,299088.75
9,54,311958.75
9,54,332433.75
9,54,309888.75
9,54,310131.75
9,54,330606.75
9,54,308061.75
9,54,320931.75
9,54,341406.75
9,54,318861.75
10,54,334177.5
10,54,356927.5
10,54,331877.5
10,54,346177.5
10,54,368927.5
10,54,343877.5
10,54,344147.5
10,54,366897.5
10,54,341847.5
10,54,356147.5
10,54,378897.5
10,54,353847.5
11,54,367196.25
11,54,392221.25
11,54,364666.25
11,54,380396.25
11,54,405421.25
11,54,377866.25
11,54,378163.25
11,54,403188.25
11,54,375633.25
11,54,391363.25
11,54,416388.25
11,54,388833.25
12,54,400215
12,54,427515
12,54,397455
12,54,414615
12,54,441915
12,54,411855
12,54,412179
12,54,439479
12,54,409419
12,54,426579
12,54,453879
12,54,423819
13,54,433233.75
13,54,462808.75
13,54,430243.75
13,54,448833.75
13,54,478408.75
13,54,445843.75
13,54,446194.75
13,54,475769.75
13,54,443204.75
13,54,461794.75
13,54,491369.75
13,54,458804.75
14,54,466252.5
14,54,498102.5
14,54,463032.5
14,54,483052.5
14,54,514902.5
14,54,479832.5
14,54,480210.5
14,54,512060.5
14,54,476990.5
14,54,497010.5
14,54,528860.5
14,54,493790.5
15,54,499271.25
15,54,533396.25
15,54,495821.25
15,54,517271.25
15,54,551396.25
15,54,513821.25
15,54,514226.25
15,54,548351.25
15,54,510776.25
15,54,532226.25
15,54,566351.25
15,54,528776.25
16,54,532290
16,54,568690
16,54,528610
16,54,551490
16,54,587890
16,54,547810
16,54,548242
16,54,584642
16,54,544562
16,54,567442
16,54,603842
16,54,563762
17,54,566985.15
17,54,605660.15
17,54,563075.15
17,54,587385.15
17,54,626060.15
17,54,583475.15
17,54,583934.15
17,54,622609.15
17,54,580024.15
17,54,604334.15
17,54,643009.15
17,54,600424.15
18,54,600003.9
18,54,640953.9
18,54,595863.9
18,54,621603.9
18,54,662553.9
18,54,617463.9
18,54,617949.9
18,54,658899.9
18,54,613809.9
18,54,639549.9
18,54,680499.9
18,54,635409.9
19,54,633022.65
19,54,676247.65
19,54,628652.65
19,54,655822.65
19,54,699047.65
19,54,651452.65
19,54,651965.65
19,54,695190.65
19,54,647595.65
19,54,674765.65
19,54,717990.65
19,54,670395.65
20,54,666041.4
20,54,711541.4
20,54,661441.4
20,54,690041.4
20,54,735541.4
20,54,685441.4
20,54,685981.4
20,54,731481.4
20,54,681381.4
20,54,709981.4
20,54,755481.4
20,54,705381.4
21,54,699060.15
21,54,746835.15
21,54,694230.15
21,54,724260.15
21,54,772035.15
21,54,719430.15
21,54,719997.15
21,54,767772.15
21,54,715167.15
21,54,745197.15
21,54,792972.15
21,54,740367.15
22,54,732078.9
22,54,782128.9
22,54,727018.9
22,54,758478.9
22,54,808528.9
22,54,753418.9
22,54,754012.9
22,54,804062.9
22,54,748952.9
22,54,780412.9
22,54,830462.9
22,54,775352.9
23,54,765097.65
23,54,817422.65
23,54,759807.65
23,54,792697.65
23,54,845022.65
23,54,787407.65
23,54,788028.65
23,54,840353.65
23,54,782738.65
23,54,815628.65
23,54,867953.65
23,54,810338.65
24,54,798116.4
24,54,852716.4
24,54,792596.4
24,54,826916.4
24,54,881516.4
24,54,821396.4
24,54,822044.4
24,54,876644.4
24,54,816524.4
24,54,850844.4
24,54,905444.4
24,54,845324.4
25,54,841068.75
25,54,897943.75
25,54,835318.75
25,54,871068.75
25,54,927943.75
25,54,865318.75
25,54,865993.75
25,54,922868.75
25,54,860243.75
25,54,895993.75
25,54,952868.75
25,54,890243.75
26,54,874087.5
26,54,933237.5
26,54,868107.5
26,54,905287.5
26,54,964437.5
26,54,899307.5
26,54,900009.5
26,54,959159.5
26,54,894029.5
26,54,931209.5
26,54,990359.5
26,54,925229.5
27,54,907106.25
27,54,968531.25
27,54,900896.25
